main_category,sub_category,book_id,book_title,book_author,publisher,publish_date,aladin_price,aladin_star,aladin_review,kyobo_price,kyobo_star,kyobo_review,yes24_price,yes24_star,yes24_review,interpark_price,interpark_star,interpark_review
가정/생활/요리,요리,21354394,에듀윌 제과 제빵기능사 필기끝장,오명석 장다예 박진홍 외 ,에듀윌,2022.01.09,18000,10.0,7,18000,9.4,3,20000,10.0,6,18000,10.0,5
가정/생활/요리,집/살림,14518950,노후주택 리모델링,전원속의 내집 편집부,주택문화사,2019.01.24,24300,10.0,1,24300,9.8,0,27000,8.8,5,24300,10.0,1
가정/생활/요리,집/살림,16853326,실내에서 이끼키우기,이선희 박웅택 정혜원 이은정,플로라,2020.10.20,14400,10.0,1,14400,8.3,0,16000,10.0,1,14400,0.0,0
가정/생활/요리,집/살림,6860734,내 손으로 직접하는 나무 가지치기,편집부,그린홈,2012.03.15,17100,7.5,4,17100,9.7,1,19000,9.2,6,17100,8.0,1
가정/생활/요리,집/살림,12863883,시공사도 건축가도 안 알려주는 건축주만이 알려줄 수 있는 집짓기 진실,손창완,주택문화사,2017.12.06,20700,10.0,4,20700,9.2,0,23000,8.8,4,20700,0.0,0
가정/생활/요리,집/살림,16290376,선인장도 말려 죽이는 그대에게,송한나,책밥,2020.03.23,16920,9.2,12,16920,9.2,6,18800,9.2,16,16920,9.1,7
가정/생활/요리,집/살림,22202689,방구석 가드닝,앤절라 S. 저드,문학수첩,2022.03.25,12600,10.0,4,12600,10.0,1,14000,10.0,5,12600,0.0,0
가정/생활/요리,집/살림,8843474,인테리어 원 북,윤소연,디자인하우스,2015.04.05,14400,9.0,36,14400,9.2,20,16000,8.9,25,14400,9.9,15
가정/생활/요리,집/살림,7306017,텃밭정원 가이드북,오도,그물코,2013.09.10,13500,9.5,4,13500,9.0,0,15000,8.8,4,13500,9.3,1
가정/생활/요리,집/살림,7361595,정원의 발견,오경아,궁리,2013.11.15,20700,8.4,11,20700,10.0,6,23000,9.4,14,20700,9.0,2
